user_id, session_id, start, finish, start_level, finish_level
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:04:03.8852900+01:00,2024-03-14T19:05:49.2830670+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:04:03.8852900+01:00,2024-03-14T19:05:53.7080860+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:05:55.5280250+01:00,2024-03-14T19:07:59.0079660+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:05:55.5280250+01:00,2024-03-14T19:08:01.1311820+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:10:08.6644940+01:00,2024-03-14T19:12:22.8230170+01:00,1,6
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:10:08.6644940+01:00,2024-03-14T19:12:22.8282440+01:00,1,6
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:10:08.6644940+01:00,2024-03-14T19:12:25.9867310+01:00,1,6
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:12:28.0666710+01:00,2024-03-14T19:15:01.9336040+01:00,1,6
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:12:28.0666710+01:00,2024-03-14T19:15:01.9387900+01:00,1,6
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:12:28.0666710+01:00,2024-03-14T19:15:04.1679110+01:00,1,6
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:15:05.6499740+01:00,2024-03-14T19:17:25.9371080+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:15:05.6499740+01:00,2024-03-14T19:17:27.1146550+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:17:29.2401950+01:00,2024-03-14T19:19:29.2186210+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:17:29.2401950+01:00,2024-03-14T19:19:31.3697810+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:19:33.5879300+01:00,2024-03-14T19:20:53.1279310+01:00,1,4
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:19:33.5879300+01:00,2024-03-14T19:20:53.1329400+01:00,1,4
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:19:33.5879300+01:00,2024-03-14T19:20:57.8067050+01:00,1,4
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:21:00.1656340+01:00,2024-03-14T19:22:42.9247850+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:21:00.1656340+01:00,2024-03-14T19:22:45.5628030+01:00,1,5
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d,2024-03-14T19:21:00.1656340+01:00,2024-03-14T19:22:46.1223170+01:00,1,5
